objectnummer,titel,map_ready_termen,regio
SK-A-1671,"Cornelis van Aerssen (1637-88), heer van Sommelsdijk. Sedert 1683 gouverneur van Suriname",Suriname (Zuid-Amerika),suriname
SK-A-2630,Portret van een man,Suriname (Zuid-Amerika),suriname
SK-A-2634,Portret van een vrouw,Suriname (Zuid-Amerika),suriname
SK-A-2635,Portret van een Surinaams meisje,Suriname (Zuid-Amerika),suriname
SK-A-2637,Portret van een Surinaams meisje,Suriname (Zuid-Amerika),suriname
SK-A-2641,Portret van Surinaams meisje,Suriname (Zuid-Amerika),suriname
SK-A-2252,Johan François Adriaan Cateau van Rosevelt (1823-91). Chef van het Bouwdepartement en Agent-generaal van de Immigratie in Suriname,Suriname (Zuid-Amerika),suriname
SK-A-4060,"Portret van Joan Jacob Mauricius, gouverneur van Suriname, dichter en toneelminnaar",Suriname (Zuid-Amerika),suriname
SK-A-4075,Surinaams landschap met een plantage van Jonas Witsen,Suriname (Zuid-Amerika),suriname
SK-A-4153,Daniel Francis Schas (1772-1848). Van 1814 tot 1820 lid van de Raad van de koophandel en koloniën,Suriname (Zuid-Amerika),suriname
SK-A-4481,De begrafenis van pastoor Joannes Vitus Janssen (1803-43) in Paramaribo,Paramaribo (stad),suriname
RP-P-1992-358,Voor het volkskind - Suriname,Suriname (Zuid-Amerika),suriname
RP-T-1905-103,Gezicht op de molen en het kookhuis van plantage Waterland in Suriname,Suriname (Zuid-Amerika),suriname
RP-P-1909-1779,Gezicht op Post Gelderland en Joden Savannah,Suriname (Zuid-Amerika),suriname
RP-P-1911-322,Gezicht op de waterkant en reede van Paramaribo,Suriname (Zuid-Amerika),suriname
RP-P-1911-321,Gouvernementshuis en plein te Paramaribo,Paramaribo (stad),suriname
RP-P-1909-1780,Gezicht op de synagoge en het kerkhof vanaf het Cordonpad gezien,Suriname (Zuid-Amerika),suriname
RP-P-1904-3844,Kankantri boom,Suriname (Zuid-Amerika),suriname
RP-P-1911-313,Gezicht op Paramaribo,Paramaribo (stad),suriname
RP-F-1994-16,"Kolonie Suriname. Afbeeldingen betreffende cultuurgewassen, plantages, goudvelden, volkstypen enz.",Suriname (Zuid-Amerika),suriname
RP-T-1895-A-3085,Gezicht op Paramaribo,Paramaribo (stad),suriname
RP-T-1971-82,Rivierlandschap met op de voorgrond een hoen,Suriname (Zuid-Amerika),suriname
RP-T-00-1849,Wapen van de Geoctrooide Sociëteit van Suriname,Suriname (Zuid-Amerika),suriname
RP-F-1994-16-3,"Gekapte bomen moeten plaatsmaken voor landbouw, Suriname",Suriname (Zuid-Amerika),suriname
RP-F-1994-16-4,"Bananenveld, Suriname",Suriname (Zuid-Amerika),suriname
RP-F-1994-16-7,"Cacaobomen, Suriname",Suriname (Zuid-Amerika),suriname
RP-F-1994-16-8,"Cacaovruchten, Suriname",Suriname (Zuid-Amerika),suriname
RP-F-1994-16-9,"Portret van een onbekende vrouw op de overdekte markt aan de Heiligenweg, Paramaribo",Paramaribo (stad),suriname
RP-F-1994-16-10,"Verlaten plantage die opnieuw wordt gebruikt, Suriname",Suriname (Zuid-Amerika),suriname
RP-F-1994-16-11,"Goudwinning in het regenwoud door het bedrijf L. & F. de Jong, Suriname",Suriname (Zuid-Amerika),suriname
RP-F-1994-16-12,"Verplaatsbaar smalspoor voor goudwinning in het regenwoud door het bedrijf L. & F. de Jong, Suriname",Suriname (Zuid-Amerika),suriname
RP-F-1994-16-13,"Goudwassers, Suriname",Suriname (Zuid-Amerika),suriname
RP-F-1994-16-14,"Goudwassers in de groeve van L. & F. de Jong, Suriname",Suriname (Zuid-Amerika),suriname
RP-F-1994-16-15,"Uitgraven van een kwartsrif, Suriname",Suriname (Zuid-Amerika),suriname
RP-F-1994-16-17,Groepsportret van onbekende Surinamers in de Gouvernementstuin te Paramaribo,Paramaribo (stad),suriname
RP-F-1994-16-19,"Portret van een onbekend Surinaams bruidspaar, Paramaribo",Paramaribo (stad),suriname
RP-F-1994-16-20,"Groepsportret van drie onbekende Caraïben-vrouwen en een kind, Paramaribo",Paramaribo (stad),suriname
RP-F-1994-16-23,"Productie van bakstenen, Suriname",Suriname (Zuid-Amerika),suriname
RP-T-1959-120,Gezicht op de plantage Cornelis Vriendschap in Suriname,Suriname (Zuid-Amerika),suriname
NG-MC-83,Kistje met drie en twintig houtmonsters van Suriname,Suriname (Zuid-Amerika),suriname
NG-MC-84,Kistje met vier en veertig houtmonsters van Suriname,Suriname (Zuid-Amerika),suriname
RP-T-1957-252,Gezicht bij een hoeve in Suriname,Suriname (Zuid-Amerika),suriname
RP-F-F00695,Album met 28 foto's van een Nederlands-Surinaamse familie,Suriname (Zuid-Amerika),suriname
RP-F-F00938,Fotoalbum met bezienswaardigheden in Paramaribo,Suriname (Zuid-Amerika) | Paramaribo (stad),suriname | suriname
RP-F-F01202,Fotoalbum van een onbekende Nederlandse familie met connecties in Suriname en Nederlands-Indië (1),Suriname (Zuid-Amerika),suriname
RP-F-F01203,"Fotoalbum van een onbekende Nederlandse familie met opnames van Suriname, Europa en Nederlands-Indië",Suriname (Zuid-Amerika),suriname
RP-F-F01204,Fotoalbum van een onbekende Nederlandse familie met connecties in Suriname en Nederlands-Indië (2).,Suriname (Zuid-Amerika),suriname
RP-F-F04145,Gebedsruimte met biddende mannen,Suriname (Zuid-Amerika),suriname
NG-478,Algemene kaart van Suriname,Suriname (Zuid-Amerika),suriname
NG-488-A,Narrative of a five years’ expedition against the revolted negroes of Surinam,Suriname (Zuid-Amerika),suriname
NG-488-B,Narrative of a five years’ expedition against the revolted negroes of Surinam,Suriname (Zuid-Amerika),suriname
RP-F-F24825,"Portret van drie onbekende Surinaamse Arowakken tegen geschilderde achtergrond, Paramaribo",Paramaribo (stad),suriname
RP-F-F24826,"Portret van vier onbekende Surinaamse Arowakken tegen geschilderde achtergrond, Paramaribo",Paramaribo (stad),suriname
RP-F-F00695-D,Portret van (vermoedelijk) een Surinaamse vrouw aangeduid als Marie,Paramaribo (stad),suriname
RP-F-F00695-Z,Vrouw met drie weken oude baby Gerard op een veranda,Paramaribo (stad),suriname
RP-F-F00695-AB,Portret van een kind met een speelgoedhond,Paramaribo (stad),suriname
RP-F-F00695-AA,Portret van (vermoedelijk) een Surinaamse vrouw in een lange jurk staand voor een muur,Paramaribo (stad),suriname
RP-F-F01154-O,"Groepsportret van Marrons en waarschijnlijk Caraïben, Suriname",Suriname (Zuid-Amerika),suriname
RP-F-F01154-P,Groepsportret van Marrons in Suriname,Suriname (Zuid-Amerika),suriname
RP-F-F01154-AF,Veld met jonge bananenplanten in Suriname,Suriname (Zuid-Amerika),suriname
RP-F-F01154-AG,Arbeiders spuiten grond af voor goudwinning in Surinaams bos,Suriname (Zuid-Amerika),suriname
RP-F-F01154-AH,Goudwinning in Surinaams bos,Suriname (Zuid-Amerika),suriname
RP-F-F01154-AI,"Groepsportret van gouverneur Warmolt Tonckens met gezelschap tijdens een bezoek van Marrons, ter gelegenheid van de Kroningsfeesten in Suriname in 1898",Suriname (Zuid-Amerika),suriname
RP-F-F01154-AJ,Gezicht op Paramaribo en de Surinamerivier,Paramaribo (stad),suriname
RP-F-F01154,"Fotoalbum met opnames van bezienswaardigheden in Europa, Trinidad, Haïti, Martinique en Suriname",Suriname (Zuid-Amerika),suriname
RP-T-1994-281-1,Oeman kondre aan de Marowijne rivier,Suriname (Zuid-Amerika),suriname
RP-T-1994-281-3,De Goede Verwachting aan het Kanaal van Wanica,Suriname (Zuid-Amerika),suriname
RP-T-1994-281-4,De Hernhutterkerk op de plantage Leliëndaal,Suriname (Zuid-Amerika),suriname
RP-T-1994-281-11,Gezicht op de verlaten suikerplantage Picardie aan de Commewijne rivier,Suriname (Zuid-Amerika),suriname
RP-T-1994-281-19,Jonge vrouw in koto,Suriname (Zuid-Amerika),suriname
RP-T-1994-281-21,Gemanumitteerde vrouw,Suriname (Zuid-Amerika),suriname
RP-T-1994-281-22,Slavenvertrekken op de plantage Prosperité,Suriname (Zuid-Amerika),suriname
RP-T-1994-281-24,De sluis van plantage Ellen aan de Commewijne rivier,Suriname (Zuid-Amerika),suriname
RP-T-1994-281-25,Oude man met stok en hoed,Suriname (Zuid-Amerika),suriname
RP-T-1994-281-26,Tot slaaf gemaakte vrouw op weg naar de kerk,Suriname (Zuid-Amerika),suriname
RP-T-1994-281-27,Tot slaaf gemaakte vrouw danst de banja,Suriname (Zuid-Amerika),suriname
RP-T-1994-281-28,Jonge vrouw in koto misi,Suriname (Zuid-Amerika),suriname
RP-T-1994-281-29,Tot slaaf gemaakte jongen met een grote stengel suikerriet,Suriname (Zuid-Amerika),suriname
RP-T-1994-281-30,Een echtpaar en een jonge vrouw,Suriname (Zuid-Amerika),suriname
RP-T-1994-281-31(R),Vrouw in koto misi,Suriname (Zuid-Amerika),suriname
RP-T-1994-281-32,"Portret van Affie Anna Terzol, een tot slaaf gemaakt meisje",Suriname (Zuid-Amerika),suriname
RP-T-1994-281-33,Man met kar met bananen,Suriname (Zuid-Amerika),suriname
RP-T-1994-281-35,Vrouw in koto misi,Suriname (Zuid-Amerika),suriname
NG-501-93,Kaart van het noordelijk deel van Zuid-Amerika,Suriname (Zuid-Amerika),suriname
NG-501-94,Kaart van Suriname,Suriname (Zuid-Amerika),suriname
NG-539,Kaart van Suriname,Suriname (Zuid-Amerika),suriname
NG-707-10,"Jan Nepveu, Gouverneur Generaal, van Suriname",Suriname (Zuid-Amerika),suriname
NG-888-13,Koloniale Guides van Suriname,Suriname (Zuid-Amerika),suriname
BK-1994-90,Kelkglas met gezichten op twee plantages in Suriname: 's Gravenhage en Alida,Suriname (Zuid-Amerika),suriname
NG-1064,Gezigten uit Neerland's West-Indien,Suriname (Zuid-Amerika),suriname
SK-A-4900,Portret van Johannes Wesenhagen (1743-1803),Paramaribo (stad),suriname
NG-1994-53-A,Kop en schotel met antislavernij-afbeelding,Suriname (Zuid-Amerika),suriname
NG-1994-53-B,Kop en schotel met antislavernij-afbeelding,Suriname (Zuid-Amerika),suriname
NG-1994-63,Surinaamse Wilhelminadoek,Suriname (Zuid-Amerika),suriname
RP-P-1957-791,Wapenschild van de Sociëteit van Suriname,Suriname (Zuid-Amerika),suriname
NG-1983-1,Diorama van plantage Zeezigt in Suriname,Suriname (Zuid-Amerika),suriname
NG-1975-36,Eerste Rapport der Staatscommissie (...) tot het voorstellen van maatregelen ten aanzien van de slaven in de Nederlandsche koloniën; Suriname,Suriname (Zuid-Amerika),suriname
NG-1977-6-4,Het kinderhuis te Saron,Suriname (Zuid-Amerika),suriname
NG-1979-47,"Boek met de titel: 'De commandant van de negerjagers : historisch verhaal van de krijgstochten tegen de boschnegers in Suriname, 1772-1778'",Suriname (Zuid-Amerika),suriname
NG-1980-2-B,Gezicht op de stad Paramaribo,Suriname (Zuid-Amerika) | Paramaribo (stad),suriname | suriname
NG-1979-565-29,Verbroederingsfeest,Suriname (Zuid-Amerika),suriname
NG-1979-566-22,Aankomst Hindostaanse bruidegom,Suriname (Zuid-Amerika),suriname
NG-1979-566-24,Hindostaans huwelijk,Suriname (Zuid-Amerika),suriname
NG-1979-566-25,Hindostaans huwelijk,Suriname (Zuid-Amerika),suriname
NG-1979-566-30,"Brasa, dag van de omhelzing",Suriname (Zuid-Amerika),suriname
NG-1979-566-31,Surinaamse markt op Dag der Vrijheden,Suriname (Zuid-Amerika),suriname
RP-P-OB-67.703,"Gezicht op uitgebrande huizen in Paramaribo, 1821",Paramaribo (stad),suriname
NG-C-1998-7-1,"Diorama van een du, dansfeest op de plantage",Suriname (Zuid-Amerika),suriname
NG-C-1998-7-4,Waardigheidsstaf voor een dorpshoofd uit Suriname,Suriname (Zuid-Amerika),suriname
NG-2000-21,Borstbeeld van H.A.E. Arron,Suriname (Zuid-Amerika),suriname
NG-2000-62,Bankbiljet van tien gulden,Suriname (Zuid-Amerika),suriname
NG-1994-32-13,Cottomissie in Gala,Suriname (Zuid-Amerika),suriname
NG-1985-69,Verraden en verkwanseld,Suriname (Zuid-Amerika),suriname
NG-2002-54,Model nationaal slavernijmonument,Suriname (Zuid-Amerika),suriname
NG-2000-65-14,"Portret van R.M.F. Goelmohammed, engineer.  Geboren te Suriname, 1962",Suriname (Zuid-Amerika),suriname
NG-2000-65-31,"Portret van Glenn Ulrich Pont, audiotechnicus - geboren te Paramaribo",Suriname (Zuid-Amerika),suriname
NG-2000-65-54,"Portret van E.A. Faithfull, barkeeper - geboren te Suriname",Suriname (Zuid-Amerika),suriname
NG-2000-65-88,"Portret van L.M. Carbin, ICT-specialiste - geboren te Suriname",Suriname (Zuid-Amerika),suriname
NG-1992-19-43,President Venetiaan op bezoek,Suriname (Zuid-Amerika),suriname
NG-1992-19-44,De Surinaamse president,Suriname (Zuid-Amerika),suriname
RP-P-1911-323,"Kaart van Indonesië, met inzet van de kust van Zuid-Amerika, de Nederlandse Antillen en de kust van Guinée",Suriname (Zuid-Amerika),suriname
RP-P-1911-330,Gezicht op gebouwen van de Evangelische Broedergemeente in Paramaribo,Paramaribo (stad),suriname
RP-P-1924-434,Plantage Libanon in Suriname,Suriname (Zuid-Amerika),suriname
RP-P-1935-1481,"Kaart van Indonesië, met inzet van de kust van Zuid-Amerika, de Nederlandse Antillen en de kust van Guinée",Suriname (Zuid-Amerika),suriname
RP-P-1974-94,Woningen van tot slaaf gemaakten op een Surinaamse plantage,Suriname (Zuid-Amerika),suriname
RP-P-1974-95,Arowakkenkamp in Suriname,Suriname (Zuid-Amerika),suriname
RP-P-1974-99,Waterkant met gouverneurshuis te Paramaribo,Suriname (Zuid-Amerika),suriname
RP-P-1974-102,"Titelpagina voor: Gerard Voorduin, Gezigten uit Neerland's West-Indien, 1860-1862",Suriname (Zuid-Amerika),suriname
RP-F-F01355,"Prinses Beatrix tijdens een bezoek aan Suriname, uitgedost als Hindostaanse",Suriname (Zuid-Amerika),suriname
RP-F-F01348,Het oudste lid der Caraiben biedt koningin Juliana bloemen aan tijdens een bezoek aan Suriname,Suriname (Zuid-Amerika),suriname
NG-2005-19-23,Filmvertoning over Suriname,Suriname (Zuid-Amerika),suriname
NG-2005-19-24,Filmvertoning,Suriname (Zuid-Amerika),suriname
NG-2005-19-25,Vrouw bij filmprojector,Suriname (Zuid-Amerika),suriname
NG-2005-19-26,Surinamer achter een tafeltje met affiches,Suriname (Zuid-Amerika),suriname
NG-2005-19-27,Suriname. Neerlands toekomst,Suriname (Zuid-Amerika),suriname
NG-2005-19-28,Filmvertoning van Suriname,Suriname (Zuid-Amerika),suriname
NG-2005-19-29,Filmvertoning van Suriname,Suriname (Zuid-Amerika),suriname
NG-2005-24,"Diorama van een du, dansfeest op de plantage",Suriname (Zuid-Amerika),suriname
NG-2006-53,Affiche voor  Democraties Volks Front (DVF) in het onafhankelijke Suriname,Suriname (Zuid-Amerika),suriname
